Work Details,"Details Media (like ss, video link)",Work type,Date Requested,Estimated Time,Backend Time,Frontend Time,App Time,Requested By,Current Status,Deployment Status,Completed Date,Completed By,,,,,
Add the location to published card,,Enhancement,27-01-2026,4 hour,,,,Ala’a Elganbur,Done,,27-01-2026,Ankit,,,,,
Stamps count aligment on cards,,Fixes,27-01-2026,1 hour,,,,Mathic,Done,,27-01-2026,Jahangir Alam,,,,,
Inactive customer export data and push notification,,Enhancement,2/2/2026,1 hour,,,,Ala’a Elganbur,Done,,2/2/2026,Ankit,,,,,
Add the new member poll,,Enhancement,2/2/2026,1 hour,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,New Requirments,New Tasks,Payable
when I collect stamp on Stamba test APK. It crashes,,Fixes,2/4/2026,30 mins,,,,Mathic,Done,,2/5/2026,Jahangir Alam,,,Enhancement,Redo/Undo tasks,Payable
When you click here the app crashes in iPhone,,Fixes,2/4/2026,30 mins,,,,Ala’a Elganbur,Done,,2/5/2026,Jahangir Alam,,,Fixes,Fixes in default scope work,Not Payable
Fix the data extraction in dashboard reward reedem history,,Fixes,2/5/2026,30 mins,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,Small Enhancement,Not taking too much time to adding but new enhancement,Not Payable
Stamba campaign start date and end date fix,,Fixes,2/5/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
Change the nfc from card to venue,,Change,3/10/2026,3 hour,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
Store notification history list,,new,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
Notification does not display the full text on the notification page.,,Fixes,2/24/2026,1 hour,,,,Ala’a Elganbur,Done,,2/24/2026,Jahangir Alam,,,,,
Replace the reward description with reward name in card,,Change,3/10/2026,,,,,Mathic,Done,,3/10/2026,Harshit,,,,,
in Arabic version. months should start from Right to Left.,,Fixes,3/10/2026,,,,,Mathic,Done,,3/10/2026,Harshit,,,,,
"Also, when I filter with Male in Arabic,filer not working.",,Fixes,3/10/2026,,,,,Mathic,Done,,3/10/2026,Harshit,,,,,
change the new member tab to passive member tab in members page,,Fixes,3/10/2026,,,,,Mathic,Done,,3/10/2026,Harshit,,,,,
Age drop down list in store invitation needs to match the rest of age drop down lists,,Fixes,3/10/2026,,,,,mathic,Done,,3/10/2026,Harshit,,,,,
Card name filter box under collected rewards is not clickable. ,,Fixes,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
Add filter to members (Active and Inactive) in Marketing campaigns/Store invitation,,Enhancement,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Harshit,,,,,
Add the card start date and expiry date,,Add on,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
Add Venue name in collected rewards report + stambs collected reports,,Add on,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,Ankit,,,,,
 A new column in the special offer history showing the number of users the offer has reached,,Add on,3/10/2026,,,,,Ala’a Elganbur,Done,,3/10/2026,3/10/2026,,,,,
Special offer is visible to non classified user,,Fixes,3/10/2026,,,,,Mathic,Done,,3/10/2026,Ankit,,,,,
"we noticed another issue with a client. Now when the user complete the card, it shows Congratulations message. The user can delete the card and add it again.

When the user add the card again it get unlocked and the user can collect stamps again. But he can't redeem the Reward again.",,Changes,2/26/2026,1 hour,,,,Mathic,,,,,,,,,
Special offer: The bottom text is big and contrasting with the line below it,,Fixes,3/3/2026,30 mins,,,,Ala’a Elganbur,Done,,3/5/2026,Jahangir Alam,,,,,
"When you click Redeem Reward from (All Stamps and Rewards History tab) in Profile Tab, it leads the user to Messages in the card. It should redirect the user to Rewards.",,Fixes,3/3/2026,30 mins,,,,Mathic,Done,,3/5/2026,Jahangir Alam,,,,,
we also will need a description area. Special offer should have a Name & Description. Same as the reward,,Changes,3/3/2026,1 hour,,,,,,,,,,,,,
Guys this app user created an account and when he reached choose after the error message appeared  “Device token field is required”  User device: iPhone 12 Pro Please check,,Fixes,3/6/2026,3 hours,,,,Ala’a Elganbur,Done,,,,,,,,
Ability to select multiple locations for the same special offer,,new,3/6/2026,3 hours,,,,Ala’a Elganbur,pending,,,,,,,,
A description box for the special offer,,new,3/6/2026,1.5 hours,,,,Ala’a Elganbur,pending,,,,,,,,
"Need to add a button and function to redeem reward special offers on the venue cards and the venue card details page, similar to what is implemented in the wallet card and wallet card details pages.",,New,,1 Day,,,,Ala’a Elganbur,pending,,,,,,,,
